# LaOnRigoleLongtemps (Up to date)
# 917 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
20.888,1052.475,3474.086
20.938,1050.179,3478.3
20.988,1047.866,3482.501
21.038,1045.536,3486.689
21.088,1043.188,3490.865
21.138,1040.822,3495.029
21.188,1038.439,3499.18
21.238,1036.039,3503.318
21.288,1033.621,3507.445
21.338,1031.186,3511.559
21.388,1028.734,3515.661
21.438,1026.265,3519.75
21.488,1023.779,3523.827
21.538,1021.275,3527.893
21.588,1018.755,3531.946
21.638,1016.218,3535.986
21.688,1013.664,3540.015
21.738,1011.093,3544.032
21.788,1008.505,3548.037
21.838,1005.901,3552.03
21.888,1003.279,3556.011
21.938,1000.642,3559.98
21.988,997.987,3563.938
22.038,995.316,3567.883
22.088,992.629,3571.817
22.138,989.925,3575.739
22.188,987.205,3579.649
22.238,984.468,3583.548
22.288,981.716,3587.435
22.338,978.947,3591.31
22.388,976.161,3595.174
22.438,973.36,3599.026
22.488,970.543,3602.867
22.538,967.709,3606.696
22.588,964.86,3610.514
22.638,961.994,3614.32
22.688,959.113,3618.115
22.738,956.216,3621.899
22.788,953.303,3625.671
22.838,950.375,3629.432
22.888,947.431,3633.182
22.938,944.471,3636.92
22.988,941.496,3640.647
23.038,938.505,3644.363
23.088,935.498,3648.068
23.138,932.477,3651.762
23.188,929.44,3655.445
23.238,926.387,3659.116
23.288,923.319,3662.777
23.338,920.237,3666.426
23.388,917.139,3670.064
23.438,914.025,3673.692
23.488,910.897,3677.308
23.538,907.754,3680.914
23.588,904.596,3684.509
23.638,901.423,3688.093
23.688,898.235,3691.666
23.738,895.033,3695.228
23.788,891.815,3698.779
23.838,888.583,3702.32
23.888,885.336,3705.85
23.938,882.075,3709.369
23.988,878.799,3712.877
24.038,875.509,3716.375
24.088,872.204,3719.862
24.138,868.885,3723.338
24.188,865.552,3726.804
24.238,862.204,3730.26
24.288,858.842,3733.704
24.338,855.466,3737.139
24.388,852.076,3740.562
24.438,848.672,3743.976
24.488,845.253,3747.378
24.538,841.821,3750.771
24.588,838.375,3754.153
24.638,834.915,3757.524
24.688,831.441,3760.886
24.738,827.954,3764.236
24.788,824.453,3767.577
24.838,820.938,3770.907
24.888,817.409,3774.227
24.938,813.868,3777.537
24.988,810.312,3780.836
25.038,806.743,3784.125
25.088,803.161,3787.404
25.138,799.565,3790.673
25.188,795.956,3793.932
25.238,792.334,3797.181
25.288,788.699,3800.419
25.338,785.051,3803.647
25.388,781.389,3806.866
25.438,777.715,3810.074
25.488,774.028,3813.272
25.538,770.327,3816.461
25.588,766.614,3819.639
25.638,762.888,3822.807
25.688,759.149,3825.966
25.738,755.398,3829.114
25.788,751.634,3832.253
25.838,747.857,3835.381
25.888,744.068,3838.5
25.938,740.267,3841.609
25.988,736.453,3844.708
26.038,732.626,3847.798
26.088,728.787,3850.878
26.138,724.936,3853.947
26.188,721.073,3857.008
26.238,717.198,3860.058
26.288,713.31,3863.099
26.338,709.411,3866.13
26.388,705.499,3869.151
26.438,701.575,3872.163
26.488,697.64,3875.165
26.538,693.693,3878.158
26.588,689.733,3881.141
26.638,685.763,3884.114
26.688,681.78,3887.078
26.738,677.786,3890.033
26.788,673.78,3892.977
26.838,669.763,3895.913
26.888,665.734,3898.839
26.938,661.694,3901.755
26.988,657.642,3904.662
27.038,653.579,3907.56
27.088,649.505,3910.449
27.138,645.419,3913.328
27.188,641.323,3916.197
27.238,637.215,3919.058
27.288,633.096,3921.909
27.338,628.967,3924.75
27.388,624.826,3927.583
27.438,620.674,3930.406
27.488,616.512,3933.22
27.538,612.338,3936.025
27.588,608.154,3938.82
27.638,603.959,3941.607
27.688,599.754,3944.384
27.738,595.538,3947.152
27.788,591.311,3949.912
27.838,587.074,3952.662
27.888,582.827,3955.403
27.938,578.569,3958.134
27.988,574.3,3960.857
28.038,570.022,3963.571
28.088,565.733,3966.276
28.138,561.434,3968.972
28.188,557.125,3971.659
28.238,552.806,3974.337
28.288,548.476,3977.006
28.338,544.137,3979.666
28.388,539.788,3982.317
28.438,535.429,3984.96
28.488,531.06,3987.593
28.538,526.682,3990.218
28.588,522.293,3992.834
28.638,517.895,3995.441
28.688,513.487,3998.04
28.738,509.07,4000.629
28.788,504.643,4003.21
28.838,500.207,4005.783
28.888,495.761,4008.346
28.938,491.306,4010.901
28.988,486.842,4013.447
29.038,482.368,4015.985
