# LaOnRigoleLongtemps (Up to date)
# 832 data points written for 3 variables.
# Simulation warnings:
#   Les calculs du corps ne seront peut être pas très précis aux vitesses supersonique.
#   Deploiement du systeme de recuperation à grande vitesse (33 m/s):  "Parachute"
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
26.194,3262.278,1235.122
26.346,3259.154,1237.757
26.504,3255.788,1240.394
26.668,3252.158,1243.037
26.838,3248.241,1245.685
27.017,3244.008,1248.341
27.204,3239.426,1251.006
27.401,3234.454,1253.683
27.609,3229.045,1256.374
27.83,3223.142,1259.081
28.065,3216.673,1261.806
28.318,3209.553,1264.552
28.591,3201.67,1267.322
28.889,3192.886,1270.117
29.216,3183.017,1272.941
29.579,3171.821,1275.794
29.989,3158.961,1278.679
30.459,3143.959,1281.593
30.959,3127.756,1284.281
31.459,3111.363,1286.597
31.959,3094.829,1288.588
32.459,3078.191,1290.299
32.959,3061.478,1291.766
33.459,3044.712,1293.025
33.959,3027.91,1294.104
34.459,3011.084,1295.028
34.959,2994.244,1295.82
35.459,2977.398,1296.499
35.959,2960.55,1297.08
36.459,2943.705,1297.577
36.959,2926.866,1298.003
37.459,2910.036,1298.369
37.959,2893.215,1298.682
38.459,2876.406,1298.95
38.959,2859.609,1299.18
39.459,2842.825,1299.378
39.959,2826.054,1299.547
40.459,2809.296,1299.693
40.959,2792.553,1299.819
41.459,2775.823,1299.927
41.959,2759.108,1300.02
42.459,2742.407,1300.101
42.959,2725.719,1300.171
43.459,2709.047,1300.232
43.959,2692.388,1300.284
44.459,2675.743,1300.33
44.959,2659.113,1300.371
45.459,2642.496,1300.406
45.959,2625.894,1300.437
46.459,2609.305,1300.465
46.959,2592.73,1300.49
47.459,2576.17,1300.512
47.959,2559.623,1300.531
48.459,2543.089,1300.549
48.959,2526.57,1300.566
49.459,2510.064,1300.581
49.959,2493.572,1300.594
50.459,2477.093,1300.607
50.959,2460.628,1300.619
51.459,2444.177,1300.63
51.959,2427.739,1300.641
52.459,2411.316,1300.651
52.959,2394.907,1300.661
53.459,2378.511,1300.67
53.959,2362.13,1300.679
54.459,2345.762,1300.687
54.959,2329.408,1300.696
55.459,2313.068,1300.704
55.959,2296.742,1300.712
56.459,2280.429,1300.719
56.959,2264.13,1300.727
57.459,2247.844,1300.735
57.959,2231.573,1300.742
58.459,2215.314,1300.75
58.959,2199.069,1300.757
59.459,2182.838,1300.764
59.959,2166.619,1300.771
60.459,2150.414,1300.778
60.959,2134.222,1300.785
61.459,2118.044,1300.792
61.959,2101.878,1300.799
62.459,2085.726,1300.806
62.959,2069.586,1300.813
63.459,2053.459,1300.82
63.959,2037.346,1300.827
64.459,2021.245,1300.834
64.959,2005.157,1300.841
65.459,1989.081,1300.848
65.959,1973.019,1300.855
66.459,1956.969,1300.861
66.959,1940.932,1300.868
67.459,1924.909,1300.875
67.959,1908.898,1300.882
68.459,1892.901,1300.888
68.959,1876.916,1300.895
69.459,1860.945,1300.902
69.959,1844.987,1300.909
70.459,1829.042,1300.915
70.959,1813.109,1300.922
71.459,1797.19,1300.929
71.959,1781.284,1300.935
72.459,1765.39,1300.942
72.959,1749.509,1300.949
73.459,1733.641,1300.955
73.959,1717.785,1300.962
74.459,1701.942,1300.969
74.959,1686.112,1300.975
75.459,1670.294,1300.982
75.959,1654.488,1300.988
76.459,1638.695,1300.995
76.959,1622.915,1301.001
77.459,1607.146,1301.008
77.959,1591.39,1301.014
78.459,1575.646,1301.021
78.959,1559.915,1301.027
79.459,1544.195,1301.034
79.959,1528.488,1301.04
80.459,1512.792,1301.047
80.959,1497.109,1301.053
81.459,1481.437,1301.06
81.959,1465.778,1301.066
82.459,1450.131,1301.073
82.959,1434.496,1301.079
83.459,1418.873,1301.086
83.959,1403.263,1301.092
84.459,1387.665,1301.098
84.959,1372.079,1301.105
85.459,1356.506,1301.111
85.959,1340.944,1301.118
86.459,1325.395,1301.124
86.959,1309.859,1301.13
87.459,1294.334,1301.137
87.959,1278.821,1301.143
88.459,1263.321,1301.149
88.959,1247.832,1301.156
89.459,1232.355,1301.162
89.959,1216.89,1301.168
90.459,1201.437,1301.174
90.959,1185.996,1301.181
91.459,1170.567,1301.187
91.959,1155.149,1301.193
92.459,1139.743,1301.199
92.959,1124.349,1301.206
93.459,1108.966,1301.212
93.959,1093.595,1301.218
94.459,1078.235,1301.224
94.959,1062.886,1301.23
95.459,1047.549,1301.237
95.959,1032.224,1301.243
96.459,1016.91,1301.249
96.959,1001.607,1301.255
97.459,986.315,1301.261
97.959,971.035,1301.267
98.459,955.766,1301.274
98.959,940.508,1301.28
99.459,925.262,1301.286
99.959,910.028,1301.292
100.459,894.805,1301.298
100.959,879.594,1301.304
101.459,864.395,1301.31
101.959,849.207,1301.316
102.459,834.03,1301.322
102.959,818.865,1301.328
103.459,803.711,1301.334
103.959,788.569,1301.34
104.459,773.438,1301.346
104.959,758.319,1301.352
105.459,743.21,1301.358
105.959,728.113,1301.364
106.459,713.027,1301.37
106.959,697.952,1301.376
107.459,682.888,1301.382
107.959,667.836,1301.388
108.459,652.794,1301.394
108.959,637.763,1301.4
109.459,622.743,1301.406
109.959,607.734,1301.412
110.459,592.736,1301.418
110.959,577.749,1301.424
111.459,562.772,1301.43
111.959,547.807,1301.436
112.459,532.852,1301.441
112.959,517.907,1301.447
113.459,502.973,1301.453
113.959,488.05,1301.459
114.459,473.138,1301.465
114.959,458.236,1301.471
115.459,443.345,1301.476
115.959,428.465,1301.482
116.459,413.596,1301.488
116.959,398.737,1301.494
117.459,383.89,1301.5
117.959,369.054,1301.505
118.459,354.228,1301.511
118.959,339.413,1301.517
119.459,324.609,1301.523
119.959,309.816,1301.529
120.459,295.034,1301.534
120.959,280.262,1301.54
121.459,265.501,1301.546
121.959,250.75,1301.551
122.459,236.01,1301.557
122.959,221.281,1301.563
123.459,206.562,1301.569
123.959,191.853,1301.574
124.459,177.155,1301.58
124.959,162.467,1301.586
125.459,147.79,1301.591
125.959,133.123,1301.597
126.459,118.466,1301.603
126.959,103.82,1301.608
127.459,89.183,1301.614
127.959,74.557,1301.619
128.459,59.941,1301.625
128.959,45.335,1301.631
129.459,30.739,1301.636
129.959,16.154,1301.642
130.459,1.578,1301.647
# Event GROUND_HIT occurred at t=130.513 seconds
# Event SIMULATION_END occurred at t=130.513 seconds
130.513,0,1301.648
