# Séparation, actif, 45 (Up to date)
# 517 data points written for 3 variables.
# Simulation warnings:
#   Open forward airframe (diameter > 0):  "Transition"
#
# Temps (s),Altitude (m),Distance latérale (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
23.449,44.075,2271.423
23.499,39.823,2274.092
23.549,35.559,2276.753
23.599,31.283,2279.406
23.649,26.996,2282.05
23.699,22.698,2284.687
23.749,18.388,2287.316
23.799,14.067,2289.936
23.849,9.735,2292.549
23.899,5.392,2295.154
23.949,1.037,2297.75
# Event GROUND_HIT occurred at t=23.999 seconds
# Event SIMULATION_END occurred at t=23.999 seconds
23.999,-3.328,2300.339
